Advanced_Analytics,Advanced Analytics
advertisment,Реклама и маркетинг
agropromyshlennogo_kompleksa,агропромышленного комплекса
agrosektora,агросектора
AI_ML,AI/ML
AI-tekhnologiy,AI-технологий
AML,AML
analitiki,аналитики
autsorsing,аутсорсинг
bankakh,банках
BI,BI
Big_Data,Big Data
BigData,BigData
biometriya,биометрия
BPM,BPM
bukhgalteriya,бухгалтерия
CDI,CDI
Computer_Vision,Computer Vision
consulting,Консалтинг и поддержка
CRM,CRM
Data_science,Data science
design,Дизайн и юзабилити
didzhital,диджитал
digital,digital
distantsionnoe_zondirovanie_Zemli,дистанционное зондирование Земли
DIY,DIY
DWH,DWH
e-commerce,e-commerce
ecom,ecom
ecommerce,Электронная коммерция
EdTech,EdTech
elektronnoe_pravitelstvo,электронное правительство
embedded,embedded
energetik,энергетик
energetiki,энергетики
Enterprise,Enterprise
entertainment,Игры и развлечения
ERP,ERP
ETL,ETL
fashion,fashion
finansakh,финансах
finansovaya_organizatsiya,финансовая организация
finansovogo,финансового
finansovogo_sektora,финансового сектора
finansovoy_analitiki,финансовой аналитики
finansy,финансы
fintekh,финтех
foodtech,foodtech
Generative_AI,Generative AI
geyming,гейминг
gornodobyvayushchey_promyshlennosti,горнодобывающей промышленности
gorodskoy_infrastruktury,городской инфраструктуры
gossektora,госсектора
gosudarstvennye_organizatsii,государственные организации
gosudarstvennyy_sektor,государственный сектор
hardware,Аппаратное обеспечение
Heavy_Digital,Heavy Digital
hosting,Домены и хостинг
hr,Рекрутинг и HR
HR-TECH,HR-TECH
IaaS,IAAS
informatsionnoy_bezopasnosti,информационной безопасности
Infrastrukturnye_servisy,Инфраструктурные сервисы
investitsionnykh_produktov,инвестиционных продуктов
IoT,IoT
khosting,хостинг
khosting-provayderov,хостинг-провайдеров
kiberbezopasnosti,кибербезопасности
klassifayd,классифайд
konsalting,консалтинг
kriptografii,криптографии
kvantovaya_tekhnologiya,квантовая технология
Low_code,Low code
Machine_Learning,Machine Learning
marketinge,маркетинге
mashinostroeniya,машиностроения
masshtabiruemost,масштабируемость
massmedia,СМИ
media,медиа
medicine,Медицина и здоровье
meditsina,медицина
MedTech,MedTech
metallurgii,металлургии
metallurgiya,металлургия
ML,ML
mobile,Мобильные технологии
multimedia,Производство мультимедиа-контента
Natural_Language_Processing,Natural Language Processing
nedvizhimost,недвижимость
nedvizhimosti,недвижимости
neftegazokhimii,нефтегазохимии
neftegazovaya_otrasl,нефтегазовая отрасль
NLP,NLP
No_code,No code
noncommerce,Некоммерческие организации
oblachnye_servisy,облачные сервисы
oblachnykh_servisov,облачных сервисов
obrazovanie,образование
OCR,OCR
OLAP,OLAP
onlayn-kursy,онлайн-курсы
Operation_Support_System_Business_Support_System_OSS_BSS,Operation Support System/Business Support System (OSS/BSS)
operatory_svyazi,операторы связи
optimization,Оптимизация
PaaS,PaaS
pishchevoy_promyshlennosti,пищевой промышленности
PKI,PKI
Platformennye_servisy,Платформенные сервисы
predlagaet,предлагает
promyshlennost,промышленность
promyshlennye,промышленные
protsessing,процессинг
provayder,провайдер
rekruting,рекрутинг
risk-menedzhmenta,риск-менеджмента
riteyla,ритейла
robototekhnika,робототехника
RPA,RPA
SaaS,SaaS
SAPR,САПР
se,Поисковые технологии
security,Информационная безопасность
servisnaya_podderzhka,сервисная поддержка
Servisy_setevoy_i_informatsionnoy_bezopasnosti,Сервисы сетевой и информационной безопасности
sistem_raspoznavaniya_dokumentov,систем распознавания документов
sistemnaya_integratsiya,системная интеграция
sistemy_videonablyudeniya,системы видеонаблюдения
software,Программное обеспечение
strakhovanii,страховании
striming,стриминг
TEK,ТЭК
telecom,Связь и телекоммуникации
telek,телек
telekoma,телекома
telekommunikatsii,телекоммуникации
telekommunikatsiy,телекоммуникаций
toplivno-energeticheskie,топливно-энергетические
torgovli,торговли
torgovye,торговые
transportnye,транспортные
umnyy_dom,умный дом
Upravlyaemye_i_korporativnye_servisy,Управляемые и корпоративные сервисы
Value_Added_Services_VAS,Value Added Services (VAS)
videoanalitiki,видеоаналитики
videoservis,видеосервис
virtualnye,виртуальные
webdev,Веб-разработка
webservices,Веб-сервисы
zdravookhranenie,здравоохранение
